JAN,商品名,Type,BodyAxis,SweetAxis,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
850755000028,オー・ボン・クリマ シャルドネ サンタ バーバラ カウンティー,White,1.1425042913054484,0.6242569726373524,0.9914880911962742,2.7005705020543744,-1.8177378249446605,3.6324021703036444,-1.6722094527395215,-0.20685102460159088,-1.1333876413241972,-1.2490804551957078,0.8935422654008237,0.06509065118695771
850832004260,ブレッド＆バター シャルドネ,White,0.7023881389959389,1.6500981111100044,-0.6567712788919489,1.8056202244206332,0.5279709035573612,1.4289252451086718,-2.9634539609316,1.6331979810537243,0.22536513960021756,-0.23350534804957002,-0.35011254693534416,0.39819516856100523
4524919310709,シャンモリ 山梨県産葡萄使用 甲州,White,-0.9359437024094205,3.181942284885465,-4.505566562450555,4.025516373301567,0.47442956067189196,1.4957272545057936,-1.3607055937098473,-0.4877858215398375,-2.338914673411642,2.254164686186504,4.827149471118355,-0.5157211333641073
4901777301702,ダークホース シャルドネ,White,-0.4101196119867109,0.8873408353159089,-1.4673375527827068,1.4804470135030403,-0.22555756975181093,0.5762926438378156,-5.048471178847545,2.594236766087623,1.64703267571337,0.6637631984407294,0.09634066855445064,0.532897735781315
4935919044714,コート　デュ　ローヌ　ヴィエイユ　ヴィーニュ,Red,2.9408763392986983,-0.977179023138813,5.136206227437173,0.9274195808986062,-2.309359408288008,-1.5351122162202626,-0.8605671164713662,1.9525719833209287,0.39502432043511193,-0.42232199130855885,0.5723435413900398,-0.4875940236926877
4935919045049,ペイ　ドック　カベルネ　ソーヴィニヨン,Red,-0.193490907920148,-1.4370901046816056,1.1634526385050485,-2.553643480985934,0.5212911645930364,-1.3486347579250173,-0.7067966866122739,-1.6674699759441642,0.8327593445377737,0.7660425232834817,1.5403498927350219,-0.36814465330358864
4935919046091,ペイ　ドック　シャルドネ　キュヴェ　ド　ブリュ,White,-3.371820771832409,-0.7602313918291728,-4.008243273587538,-0.5035814609434692,-0.5715480839231215,0.14535960299078254,-1.0368764134798505,-1.0740343614380283,0.13664257166618182,-1.2963265649372975,1.0382293418529784,0.18692794337115984
4935919049924,コート　デュ　ローヌ　ルージュ　ル　プティ　アンデゾン,Red,0.8695808908999412,-1.3920318737340214,2.621804963225197,-0.8171021814906171,-1.1515281735996679,-1.8635754611473823,-0.8217003964512344,2.2742607792797527,-0.4436832391463502,-0.7632365665102634,0.5637916870784334,0.49895940065466204
4935919050357,モンテプルチャーノ　ダブルッツォ,Red,1.6503729185504508,-1.5634164633342573,3.8973962277215723,-1.725263958387099,-0.48574080769758654,1.991686704919379,-0.30416156701121666,-1.0584666826848192,-0.20526814189090767,0.48261790648404723,-0.7887819234009854,-1.828521120298149
4935919050562,ファンティーニ　モンテプルチャーノ　ダブルッツォ,Red,0.536994373428401,-0.08326162939116806,0.8426863552116551,-2.985764392197618,2.868014666687346,3.865315101573381,2.8400470297698313,-1.0313311812189268,1.2251820530041526,1.1412007983126113,0.6648916195249479,-0.014816158428266994
4935919050579,ファンティーニ　トレッビアーノ　ダブルッツォ,White,-4.510904494455261,-0.8664382546208419,-5.512944060007538,-0.6761754790374912,-0.5491532516061766,-1.001064123075434,0.29008930942650657,-0.738870215214004,0.7322909650590654,0.08564544918434419,-0.43161593900674317,0.5164099942429853
4935919050883,ファンティーニ　サンジョヴェーゼ　テッレ　ディ　キエティ,Red,5.38338312728631,2.6456311294459707,4.967622300612815,2.6854024397716367,1.0560849845273048,-2.755026460441584,1.3571511436716157,-0.3024308001141505,0.31285789777927114,0.04203573206798528,-0.8867008926735309,0.520846896553636
4935919052504,ファレーリオ,White,-2.7431513308555626,-0.9416660068538847,-2.937735808883857,-1.5656848133537788,0.23396797523529914,-1.4486611919197043,0.38609844782127556,-0.3131806472770986,-0.9296778101637873,-0.41254791500850374,2.0494417415629345,-0.6487287678093056
4935919052726,ファンティーニ　シャルドネ,White,-2.4129605486065473,0.6624720015306482,-4.074913534841252,0.18647521414350784,0.7504016751135847,-1.0189607634828999,-1.318446177486518,-2.169448734742861,1.3825813690573783,0.13992641760048433,0.12631153933359035,1.0004127943729253
4935919053150,ファンティーニ　プリミティーヴォ,Red,6.177568318094416,3.767487435703346,4.968913462232128,3.657241254130086,1.67079057351182,-1.597362713726473,0.10122404384260929,-0.13061302284203966,-0.8771742229563457,-0.15626776648507343,-0.8333694756717058,1.424900479458989
4935919053266,ロッソレアーレ,Red,3.3704179439444033,1.1877552413351575,3.5787355258566604,-0.8700180099560514,2.54975758103196,0.8631809425205084,-0.21408864831711233,-1.8571885879331766,-0.81326172182685,0.23023638237821073,0.9327977888211247,-0.3602223178671043
4935919054034,モリ　ロッソ,Red,2.7135604234174564,-0.7601039228763674,4.597657875992213,-0.40433543969160235,-0.6706138368531496,0.40919589595882827,1.2958546316566009,0.6961822553907189,0.16605952788044068,-0.3768542022539047,-0.5018021791705326,0.8849793448516875
4935919054836,ピエモンテ　バルベーラ,Red,8.081205603480836,-0.3673208922306656,11.795871456998716,5.574432650359594,-6.093902837895187,-4.117945495770983,3.3009717132289143,-4.300588166337638,-0.04864942763770689,-0.7652523688046148,5.629823970278623,4.16050383417041
4935919054874,ザブ　ネーロ　ダーヴォラ,Red,4.579829488990255,1.101294215916304,5.375562760769956,1.577143450539723,-0.01967823422784229,1.3537501951083184,1.1521603885727145,-0.33650296871729624,-2.5244825430699094,2.633469782733312,-0.9657236115825159,-0.5086776032679085
